"","programs.corp6"
"10716217 2016","sfhaf closed  loan  bridge housing corporation   vacant site  4840 mission street  san francisco  loan  closed  june 7 2017  totaled 9.0m  loan proceeds will  used  175 new affordable housing units   ground floor community health clinic without  fund bridge's purchase agreement   strategic site   expired.sfhaf closed  loan  mission economic development agency meda  acquisition  rehabilitation   6-unit property  1411 florida street  san francisco  loan  closed  may 24 2017  totaled 3.5m  loan proceeds will  used  rehabilitate  preserve 6 affordable housing units  build  additional accessory dwelling unit adu  adu   first   city's small sites program allowing longtime elderly tenants  age  place   new ground floor apartment.sfhaf closed  first round  capital  april 37 million  total led  investments  20 million  citi community capital 10 million   city  san francisco  6.5 million philanthropic capital  dignity health  san francisco foundation   hewlett foundation"
"10842551 2015","provide classroom supplies  benefit  students  teachers paid  educational assemblies  programs  students provided funding  field trip transportation benefiting students"
"20792368 2011","community sports programs"
"30555726 2016"," provide  substance free graduation event"
"43611860 2016","services include education  activities  people   ages   city wide community center"
"43771703 2017","family gateway affordable housing inc fgah acted   co-manager   development   low income housing project  hutchens texas"
"50549622 2016","adult  youth ministries    people  colorado springs"
"50581787 2016","medical assistance"
"50618564 2015","program services    synagogue based events  jewish holidays events  membership functions    goal  sustaining  synagogue   jewish faith"
"61582376 2016","promoted  recognized  practice  law  asian-pacific men  women   state  connecticut"
"61790598 2011","provides food medical care  shelter  unwanted dogs"
"61821118 2015","provided residential treament services    60 patients suffering  drug abuse  mental illness"
"66086737 2016","supports community charities  awards scholarships grants  donations"
"113087078 2014"," purposes    corporation  formed   raise money  donations  worthy charities  charitable organizations also  set   scholarship fund  worthy recipients   community"
"113187592 2015","american friends  neve avraham afna   not-for-profit organization established  provide charitable contributions  neve avraham  not-for-profit organization located  kiryat arba hebron israel neve avraham provides therapeutic treatment  developmentally delayed children  families  kiryat arba hebon israel  nearby settlements  therapeutic services offered  children  various developmental disabilities including speech therapy occupational therapy physiotherapy  educational resources  youngsters  learning disabilities  goal   reach   every child  special needs   area providing services  assist  development  achievement   best    potential"
"113731446 2017","youth development programs"
"133435994 2012","educational seminars  cornell medical center  ny hospital appx 190 students benefited"
"133435994 2011","radio programs promoting respect   worth  dignity   human life  every stage  biological development"
"133853367 2016","provide  recreational soccer program  children  residents   town  lewisboro"
"134104889 2016","organization assists   commercial development   st george tompkinsville stapleton  clifton neighborhoods  staten island new york"
"134126008 2016"," organizing   exempt organization  290 children  realized  goal   participating members   highly competetive westchester youth soccer league"
"134126008 2015"," organizing   exempt organization  230 children  realized  goal  participating members   highly competative westchester youth soccer league"
"134232989 2015","provided risk avoidance workshops  classrooms  youth ages 12  18"
"135602922 2012","publication  new leader magazine"
"136139887 2017","horological society  new york  offered classes   public taught  professional watchmakers  award-winning classes  hsny's mission  making horological education accessible  enjoyable   public"
"141916238 2015",""
"141928509 2016"," activity   organization"
"141928509 2017","building maintenance  development"
"161381378 2017","firefighting"
"161489979 2016","transports  involved  medical emergencies  hospitals  administers first aid"
"161489979 2011","transports  involved  medical emergencies  hospitals  administers firest aid"
"200070220 2012","educational events  professionals  general public including educational materials"
"200513527 2012","services relsted  purpose"
"200530212 2011","various educational seminars   developments  advancements  healthcare"
"201338984 2014","donation"
"201492556 2011"," construct  rehabilitate homes  sell  low  moderate income families"
"201925167 2017","preservation  restoration   east broad top railroad"
"202095287 2012","education  provided  students  pre-kindergarten   8th grade  school believes   contemporary  relevant education must include training  critical thinking  making informed decisions  student  helped  identify  capitalize     uniqueness  strengths   accomplished  exposure  advanced studies  arts technology extracurricular activities athletics  enhanced learning opportunities  school currently serves  300 students"
"202643592 2011","department  rehab grant    america recovery  reinvestment act  monies  used  provide training   turn future employment opportunities  displaced workers  program provided contractors engineers architects etc education   california state  federal green building standards  individuals  completed  program   ready  take  leed certification examination  become leed certified"
"202874553 2015","direct support  latchkey program  wellington schools"
"203004607 2016","promotion  community events support  national lions projects"
"203004607 2015","promotion  community eventssupport  national lions projects"
"203732417 2017","cultural programs diwali navratri  natak"
"204054959 2017","provide scholarship  high school graduates"
"204116121 2016"," provide homes  children    placed  dss custody    removed   home  mental health reasons   local mental health entity"
"204209205 2017","nyc medics rapidly deploys  remote  difficult  reach areas  disaster zones  complex humanitarian emergencies providing  highest level  medical care  dignity integrity  compassion  people   otherwise   access  aid  relief efforts.iraq response:as  implementing partner   world health organization   iraq nyc medics operated  trauma stabilization point tsp throughout 2017 just behind  front line   war filling  critical gap   response efforts tsps   first point  medical contact  gravely injured people providing vital trauma care  stabilization readying patients  transport  hospitals  definitive  surgical care  nyc medics tsp  continually staffed  operated 24 hours  day seven days  week   mobile unit  tsp relocated seven times  effort  maintain  close proximity   front  intervene   vital golden hour  care providing rapid evaluation  resuscitation  majority  patients  evaluated triaged treated  dispositioned  receiving facilities within 15 minutes  arriving  nyc medics tsp located   front lines   distant field hospitals  volunteers provided life-saving care    2,600 patients additionally nyc medics successfully implemented  medical referral coordination system  managed  1,600 patient transfers  real-time nyc medics played  integral part   day-to-day management  patient transfers  field hospitals   field hospitals  tertiary referral hospitals helping  smooth  communication  various partner organizations  serving   centralized focal point  referrals   referral coordination nyc medics helped  ensure  patients  brought   hospitals best suited  caring   specific needs  patient distribution throughout  field hospital system  equitable especially  mass casualty incidents   patient movements  facility  facility occurred  smoothly  possible  obstacles   security checkpoint closures  delays identified  addressed  real-time.dominica response:at  request     government  dominica nyc medics deployed two mobile medical teams   wake  hurricane maria  operated  september 29  october 23 2017  mobile teams comprised  volunteer medical professionals provide emergency  primary care  patients   worst affected areas nycmedics response focused  reaching remote isolated communities  cared  700 patients additionally nyc medics teams conducted six facility assessments   assist   response  ensure  facilities  receive  support necessary   reactivation   health care system  mobile teams access several remote island communities including roseau trafalgar san sauveur morne prosper marigot  pointe michel  mobility  flexibility   nycmedics teams allowed   care  hundreds  patients  otherwise     able  reach  operating health facilities bangladesh needs assessment   performed  november 2017  programming opportunities identified  partnerships  two local health organizations  established funding   available  operationalize  program"
"204850732 2015","n "
"204889142 2017","perkins sale  promote  aberdeen brand"
"204890877 2015"," expenses listed  include  program service expenses related directly   organization's exempt purpose"
"205286952 2013"," organization produced  series  bible study guides called foundation stones bible curriculum  home  group study    30 groups using  curriculum including  military installation overseas"
"205289962 2016","program accomplishments   year included increase  programs  session services 100-150 students implementation  true star jr summer session partnered w respiratory health students created  anti-tobacco campaign students particpated  chicago city  learning ccol program  students earn digital badges  learning challenges successfully completed"
"205289962 2011","tsf provides creative outlet   form  literary  professional development  programs   editorial graphic design photography  sales  marketing"
