"","mission.corp6"
"10716217 2016"," corporation's specific purpose   supports affordable housing community development  economic development   city  county  san francisco's economically disadvantaged individuals  communities  lending  investing   directly acquiring  affordable housing  related community development real estate assets"
"10842551 2015","support hartland creekside elementary school"
"20792368 2011","community sports programs"
"30555726 2015","provide  substance free"
"43611860 2016"," relieve  poor  distressed   underprivilaged  combat community deterioration   buffalo-niagara region  new york state  establishing  maintaining  faith-based community development corporation"
"43771703 2017","family gateway affordable housing inc fgah  operated supervised  controlled  family gateway inc fg  texas nonprofit   purpose  building  operating housing units available  low income tenants fgah works  fg  provide various support services  tenants occupying fgah's property  assist fg  fulfillling  purposes  providing safe decent  affordable housing  low income   low income individuals"
"50549622 2016","youth ministry adult ministry"
"50581787 2016","assistance  medical  education expenses"
"50618564 2015","   grass roots volunteer based sephardic synagogue founded   group  dedicated jewish professionals   devoted  maintaining ties   history  tradition  developing leadership  growth"
"61582376 2016"," promote  recognize  practice  law  asian-pacific men  women   state  connecticut"
"61790598 2011","provides shelter medical care  food  stray unwanted dogs"
"61821118 2016","im still standing  grace   regional behavioral healthcare  certified substance abuse system  provides comprehensive  caring services  adults   families"
"66086737 2016","supports community charities  awards scholarships grants  donations"
"113087078 2015","charitable organization"
"113187592 2015"," program  provide therapeutic services   families  kiryat hebron  surrounding areas  isreal"
"113731446 2017","youth development programs"
"133435994 2012","promote education  human life"
"133853367 2016","provide  recreational soccer program  children  residents "
"133853367 2017","provide  recreational soccer"
"134104889 2015","commercial development"
"134126008 2015","just play soccer club inc   non-for-profit organization  irc 501c 3  corporation exists   result   compelling demand   westchester youth soccer league   participating clubs  legally designated  non-for-profit organizations    group  parents  seek high quality soccer opportunities   children  meet  goal   established  relationship   westchester youth soccer governing body"
"134126008 2017","see schedule o"
"134232989 2015"," educate  empower young people  make healthy life choices"
"135602922 2011","publication  new leader magazine"
